family,parameters,a,b,c,factorization_c,source_capacities,sink_primes,compatible_blocks,saturated_blocks,reachable_disjoint_unions,chosen_blocks,exclusive_assignment,residual_numerator,residual_denominator,pbt_residual_numerator,pbt_residual_denominator,scalar_numerator,scalar_denominator,fragmentation_numerator,fragmentation_denominator,fcrt_chosen_blocks,fcrt_item_assignment,fcrt_residual_numerator,fcrt_residual_denominator,fcrt_fragmentation_numerator,fcrt_fragmentation_denominator,fcrt_improvement_numerator,fcrt_improvement_denominator,fcrt_block_family_count,radical_abc,ratio_grid_floor,fcrt_ratio_grid_floor
composite_base_unit_power,base=15;exponent=6,1,11390624,11390625,3^6;5^6,3:243;5:3125,2;7;211;241,3,2,3,,2->5;7->5;211->5;241->3,759375,711914,759375,711914,759375,711914,1,1,,2->5;7->5;211->5;241->3,759375,711914,1,1,1,1,3,10678710,47,47
composite_base_unit_power,base=15;exponent=7,1,170859374,170859375,3^7;5^7,3:729;5:15625,2;7;1743463,3,3,4,[3+5|2+7+1743463],2->block;7->block;1743463->block,1,1,729,14,1,1,1,1,[3+5|2+7+1743463],token#2:1/1->unused,1,1,1,1,1,1,4,366127230,0,0
composite_base_unit_power,base=15;exponent=8,1,2562890624,2562890625,3^8;5^8,3:2187;5:78125,2;7;17;113;1489,3,2,3,,2->3;7->3;17->5;113->3;1489->5,170859375,40045166,170859375,40045166,170859375,40045166,1,1,,2->3;7->3;17->5;113->3;1489->5,170859375,40045166,1,1,1,1,3,600677490,861,861
composite_base_unit_power,base=15;exponent=9,1,38443359374,38443359375,3^9;5^9,3:6561;5:390625,2;7;241;541;21061,3,3,4,,2->unused;7->5;241->5;541->5;21061->3,1,1,1,1,1,1,1,1,,2->unused;7->5;241->5;541->5;21061->3,1,1,1,1,1,1,4,576650390610,0,0
composite_base_unit_power,base=18;exponent=10,1,3570467226623,3570467226624,2^10;3^20,2:512;3:1162261467,11;17;19;41;2711;9041,3,3,4,,11->3;17->2;19->3;41->2;2711->3;9041->3,1,1,1,1,1,1,1,1,,11->3;17->2;19->3;41->2;2711->3;9041->3,1,1,1,1,1,1,4,21422803359738,0,0
composite_base_unit_power,base=18;exponent=2,1,323,324,2^2;3^4,2:2;3:27,17;19,4,4,5,[2+3|17+19],17->block;19->block,1,1,27,19,1,1,1,1,[3|17+19],token#2:323/27->2,1,1,1,1,1,1,5,1938,0,0
composite_base_unit_power,base=18;exponent=3,1,5831,5832,2^3;3^6,2:4;3:243,7;17,4,2,3,,7->3;17->3,972,119,972,119,972,119,1,1,,7->3;17->3,972,119,1,1,1,1,3,714,3835,3835
composite_base_unit_power,base=18;exponent=4,1,104975,104976,2^4;3^8,2:8;3:2187,5;13;17;19,4,4,5,[2+3|5+13+17+19],5->block;13->block;17->block;19->block,1,1,2187,1615,1,1,1,1,[3|5+13+17+19],token#2:20995/2187->2,1,1,1,1,1,1,5,125970,0,0
composite_base_unit_power,base=18;exponent=5,1,1889567,1889568,2^5;3^10,2:16;3:19683,17;41;2711,3,3,4,,17->2;41->3;2711->3,1,1,1,1,1,1,1,1,,17->2;41->3;2711->3,1,1,1,1,1,1,4,11337402,0,0
composite_base_unit_power,base=18;exponent=6,1,34012223,34012224,2^6;3^12,2:32;3:177147,7;17;19;307,3,2,3,,7->2;17->3;19->3;307->3,5668704,694127,5668704,694127,5668704,694127,1,1,,7->2;17->3;19->3;307->3,5668704,694127,1,1,1,1,3,4164762,1653,1653
composite_base_unit_power,base=18;exponent=7,1,612220031,612220032,2^7;3^14,2:64;3:1594323,17;449;80207,3,3,4,[2+3|17+449+80207],17->block;449->block;80207->block,1,1,1594323,1363519,1,1,1,1,[2+3|17+449+80207],token#2:1/1->unused,1,1,1,1,1,1,4,3673320186,0,0
composite_base_unit_power,base=18;exponent=8,1,11019960575,11019960576,2^8;3^16,2:128;3:14348907,5;13;17;19;113;929,3,3,4,[2+3|5+13+17+19+113+929],5->block;13->block;17->block;19->block;113->block;929->block,1,1,128,113,1,1,1,1,[2+3|5+13+17+19+113+929],token#2:1/1->unused,1,1,1,1,1,1,4,13223952690,0,0
composite_base_unit_power,base=18;exponent=9,1,198359290367,198359290368,2^9;3^18,2:256;3:129140163,7;17;991;34327,3,2,3,,7->2;17->2;991->3;34327->3,33059881728,4048148783,33059881728,4048148783,33059881728,4048148783,1,1,,7->2;17->2;991->3;34327->3,33059881728,4048148783,1,1,1,1,3,24288892698,1053,1053
composite_base_unit_power,base=30;exponent=10,1,590489999999999,590490000000000,2^10;3^10;5^10,2:512;3:19683;5:1953125,11;29;31;71261;837931,7,7,8,,11->5;29->2;31->2;71261->3;837931->5,1,1,1,1,1,1,1,1,,11->5;29->2;31->2;71261->3;837931->5,1,1,1,1,1,1,8,17714699999999970,0,0
composite_base_unit_power,base=30;exponent=2,1,899,900,2^2;3^2;5^2,2:2;3:3;5:5,29;31,8,8,9,[2+3+5|29+31],29->block;31->block,1,1,2,1,1,1,1,1,[3+5|29+31],token#6:31/1->2,1,1,1,1,1,1,9,26970,0,0
composite_base_unit_power,base=30;exponent=3,1,26999,27000,2^3;3^3;5^3,2:4;3:9;5:25,7;19;29,8,8,9,,7->2;19->3;29->5,1,1,1,1,1,1,1,1,,7->2;19->3;29->5,1,1,1,1,1,1,9,115710,0,0
composite_base_unit_power,base=30;exponent=4,1,809999,810000,2^4;3^4;5^4,2:8;3:27;5:125,17;29;31;53,10,10,11,,17->2;29->3;31->5;53->5,1,1,1,1,1,1,1,1,,17->2;29->3;31->5;53->5,1,1,1,1,1,1,11,24299970,0,0
composite_base_unit_power,base=30;exponent=5,1,24299999,24300000,2^5;3^5;5^5,2:16;3:81;5:625,29;837931,7,7,8,[2+3+5|29+837931],29->block;837931->block,1,1,1296,29,1,1,1,1,[2+3+5|29+837931],token#6:1/1->unused,1,1,1,1,1,1,8,728999970,0,0
composite_base_unit_power,base=30;exponent=6,1,728999999,729000000,2^6;3^6;5^6,2:32;3:243;5:3125,7;13;19;29;31;67,7,7,8,,7->5;13->3;19->3;29->5;31->5;67->2,1,1,1,1,1,1,1,1,,7->5;13->3;19->3;29->5;31->5;67->2,1,1,1,1,1,1,8,3124285710,0,0
composite_base_unit_power,base=30;exponent=7,1,21869999999,21870000000,2^7;3^7;5^7,2:64;3:729;5:15625,29;71;113;93997,7,7,8,,29->3;71->2;113->3;93997->5,1,1,1,1,1,1,1,1,,29->3;71->2;113->3;93997->5,1,1,1,1,1,1,8,656099999970,0,0
composite_base_unit_power,base=30;exponent=8,1,656099999999,656100000000,2^8;3^8;5^8,2:128;3:2187;5:78125,17;29;31;53;241;3361,10,10,11,,17->2;29->2;31->3;53->5;241->3;3361->5,1,1,1,1,1,1,1,1,,17->2;29->2;31->3;53->5;241->3;3361->5,1,1,1,1,1,1,11,19682999999970,0,0
composite_base_unit_power,base=30;exponent=9,1,19682999999999,19683000000000,2^9;3^9;5^9,2:256;3:6561;5:390625,7;19;29;729027001,7,7,8,[2+3+5|7+19+29+729027001],7->block;19->block;29->block;729027001->block,1,1,1679616,3857,1,1,1,1,[2+3+5|7+19+29+729027001],token#6:1/1->unused,1,1,1,1,1,1,8,84355714285710,0,0
composite_base_unit_power,base=42;exponent=10,1,17080198121677823,17080198121677824,2^10;3^10;7^10,2:512;3:19683;7:40353607,11;41;43;131;181;1601;23201,7,7,8,,11->unused;41->7;43->7;131->3;181->3;1601->2;23201->7,1,1,1,1,1,1,1,1,,11->unused;41->7;43->7;131->3;181->3;1601->2;23201->7,1,1,1,1,1,1,8,717368321110468566,0,0
composite_base_unit_power,base=42;exponent=2,1,1763,1764,2^2;3^2;7^2,2:2;3:3;7:7,41;43,8,8,9,[2+3+7|41+43],41->block;43->block,1,1,2,1,1,1,1,1,[3+7|41+43],token#6:43/1->2,1,1,1,1,1,1,9,74046,0,0
composite_base_unit_power,base=42;exponent=3,1,74087,74088,2^3;3^3;7^3,2:4;3:9;7:49,13;41;139,8,8,9,,13->2;41->3;139->7,1,1,1,1,1,1,1,1,,13->2;41->3;139->7,1,1,1,1,1,1,9,3111654,0,0
composite_base_unit_power,base=42;exponent=4,1,3111695,3111696,2^4;3^4;7^4,2:8;3:27;7:343,5;41;43;353,8,8,9,,5->unused;41->2;43->3;353->7,1,1,1,1,1,1,1,1,,5->unused;41->2;43->3;353->7,1,1,1,1,1,1,9,130691190,0,0
composite_base_unit_power,base=42;exponent=5,1,130691231,130691232,2^5;3^5;7^5,2:16;3:81;7:2401,11;41;181;1601,8,8,9,,11->7;41->2;181->3;1601->7,1,1,1,1,1,1,1,1,,11->7;41->2;181->3;1601->7,1,1,1,1,1,1,9,5489031702,0,0
composite_base_unit_power,base=42;exponent=6,1,5489031743,5489031744,2^6;3^6;7^6,2:32;3:243;7:16807,13;41;43;139;1723,8,8,9,,13->3;41->2;43->3;139->7;1723->7,1,1,1,1,1,1,1,1,,13->3;41->2;43->3;139->7;1723->7,1,1,1,1,1,1,9,230539333206,0,0
composite_base_unit_power,base=42;exponent=7,1,230539333247,230539333248,2^7;3^7;7^7,2:64;3:729;7:117649,41;3851;1460117,7,7,8,[2+3+7|41+3851+1460117],41->block;3851->block;1460117->block,1,1,64,41,1,1,1,1,[2+3+7|41+3851+1460117],token#6:1/1->unused,1,1,1,1,1,1,8,9682651996374,0,0
composite_base_unit_power,base=42;exponent=8,1,9682651996415,9682651996416,2^8;3^8;7^8,2:128;3:2187;7:823543,5;17;41;43;353;183041,8,8,9,,5->2;17->3;41->2;43->7;353->3;183041->7,1,1,1,1,1,1,1,1,,5->2;17->3;41->2;43->7;353->3;183041->7,1,1,1,1,1,1,9,406671383849430,0,0
