a,b,c,radical,support_vertices,covering_faces,zero_defect_cover,min_raw_defect,raw_face,raw_ratio,min_scalar_unmatched,scalar_face,scalar_ratio,min_monotone_unmatched,flow_face,flow_ratio,family,index
961,230400,231361,447330,6,43,False,481,"C:13^2,C:37^2",0.4746631816041577,0.0,"B:3^2,B:5^2,C:37^2",0.0,0.7883943583166833,"A:31^2,B:2^10",0.06059420614312469,pythagorean,15
1089,295936,297025,611490,6,43,False,545,"C:5^2,C:109^2",0.47290224221214255,0.0,"A:3^2,A:11^2,B:17^2",0.0,0.5397607346254434,"A:3^2,A:11^2,B:17^2",0.04051146475708557,pythagorean,16
1225,374544,375769,2188410,6,40,False,613,C:613^2,0.43965361123311303,0.0,"A:5^2,A:7^2,B:2^4,B:3^4",0.0,0.0,"A:5^2,A:7^2,B:2^4,B:3^4",0.0,pythagorean,17
1369,467856,469225,2889330,6,44,False,685,"C:5^2,C:137^2",0.4389072287859774,0.0,"A:37^2,B:2^4,B:3^4",0.0,0.0,"A:37^2,B:2^4,B:3^4",0.0,pythagorean,18
1521,577600,579121,5639010,6,40,False,761,C:761^2,0.42679574506865514,0.0,"A:3^2,A:13^2,B:2^6,B:5^2",0.0,0.0,"A:3^2,A:13^2,B:2^6,B:5^2",0.0,pythagorean,19
1681,705600,707281,249690,6,42,False,861,"A:41^2,B:3^2,B:7^2",0.5437808067695121,1.0412078925376456,C:29^4,0.0837793652408903,3.713572066704308,"A:41^2,B:2^6,B:3^2",0.29880748384121497,pythagorean,20
1849,853776,855625,3675210,7,89,False,1221,"B:3^2,B:11^2,C:37^2",0.4701573502762833,0.0,"A:43^2,B:2^4,B:7^2",0.0,0.0,"B:2^4,B:11^2,C:5^4",0.0,pythagorean,21
2025,1024144,1026169,7688670,6,41,False,1013,C:1013^2,0.43649061659687627,0.0,"A:3^4,A:5^2,B:2^4,B:11^2",0.0,0.0,"A:3^4,A:5^2,B:2^4,B:11^2",0.0,pythagorean,22
2209,1218816,1221025,7167030,7,88,False,1105,"C:5^2,C:13^2,C:17^2",0.44394043522973625,0.0,"A:47^2,B:2^8,B:3^2",0.0,0.0,"B:2^8,B:23^2,C:5^2",0.0,pythagorean,23
2401,1440000,1442401,252210,5,21,False,1201,C:1201^2,0.570099688796877,1.743802291362515,C:1201^2,0.14019937759375403,3.0880252652395823,"A:7^4,B:2^8,B:3^2",0.24827311119203818,pythagorean,24
2601,1690000,1692601,8625630,6,40,False,1301,C:1301^2,0.44901545838886964,0.0,"A:17^2,B:2^4,B:5^4",0.0,0.0,"A:17^2,B:2^4,B:5^4",0.0,pythagorean,25
2809,1971216,1974025,5808270,6,43,False,1405,"C:5^2,C:281^2",0.4653540134959999,0.0,"A:53^2,B:3^6",0.0,0.0,"A:53^2,B:3^6",0.0,pythagorean,26
3025,2286144,2289169,3495030,7,87,False,1513,"C:17^2,C:89^2",0.4859574821867575,0.0,"C:17^2,C:89^2",0.0,0.47949484366087725,"A:11^2,B:2^6,B:3^6",0.031824486442020995,pythagorean,27
3249,2637376,2640625,1504230,7,90,False,1653,"A:3^2,A:19^2,B:29^2",0.5209825379551254,0.5627344921957551,"C:5^6,C:13^2",0.03956290306903975,1.1540349763976716,"A:3^2,B:2^6,B:7^2,C:13^2",0.08113413082491526,pythagorean,28
3481,3027600,3031081,89365530,6,40,False,1741,C:1741^2,0.40758765775321826,0.0,"A:59^2,B:2^4,B:3^2,B:5^2",0.0,0.0,"A:59^2,B:2^4,B:3^2,B:5^2",0.0,pythagorean,29
3721,3459600,3463321,105574530,6,41,False,1861,C:1861^2,0.40751819850449306,0.0,"A:61^2,B:2^4,B:3^2,B:5^2",0.0,0.0,"A:61^2,B:2^4,B:3^2,B:5^2",0.0,pythagorean,30
3969,3936256,3940225,2584470,6,43,False,1985,"C:5^2,C:397^2",0.5142809510491015,0.4217173703527761,"C:5^2,C:397^2",0.02856190209820305,0.6634312738083656,"A:7^2,B:2^12,C:5^2",0.0449326027892793,pythagorean,31
4225,4460544,4464769,9064770,6,42,False,2113,C:2113^2,0.47789693669238004,0.0,"A:13^2,B:2^12,B:3^2",0.0,0.0,"A:13^2,B:2^12,B:3^2",0.0,pythagorean,32
4489,5035536,5040025,168765630,7,86,False,2245,"C:5^2,C:449^2",0.4073296051672533,0.0,"A:67^2,B:2^4,B:11^2",0.0,0.0,"A:67^2,B:2^4,B:11^2",0.0,pythagorean,33
4761,5664400,5669161,195503910,7,80,False,2381,C:2381^2,0.40727247447868586,0.0,"A:3^2,A:23^2,B:5^2,B:7^2",0.0,0.0,"A:3^2,A:23^2,B:5^2,B:7^2",0.0,pythagorean,34
5041,6350400,6355441,37588110,6,42,False,2521,C:2521^2,0.44904952786227176,0.0,"A:71^2,B:2^6,B:3^4",0.0,0.0,"A:71^2,B:2^6,B:3^4",0.0,pythagorean,35
5329,7096896,7102225,43188990,7,91,False,2665,"C:5^2,C:13^2,C:41^2",0.4486614068306285,0.0,"A:73^2,B:2^6,B:3^4",0.0,0.0,"B:2^6,B:37^2,C:13^2",0.0,pythagorean,36
5625,7907344,7912969,59326170,7,88,False,2813,"C:29^2,C:97^2",0.4437232005478606,0.0,"A:3^2,A:5^4,B:2^4,B:19^2",0.0,0.0,"A:3^2,A:5^4,B:2^4,B:19^2",0.0,pythagorean,37
5929,8785296,8791225,338348010,8,171,False,2965,"C:5^2,C:593^2",0.40706726195919896,0.0,"A:7^2,A:11^2,B:2^4,B:13^2",0.0,0.0,"A:7^2,A:11^2,B:2^4,B:13^2",0.0,pythagorean,38
6241,9734400,9740641,96158010,6,41,False,3121,C:3121^2,0.4377176662938665,0.0,"A:79^2,B:2^8,B:3^2",0.0,0.0,"A:79^2,B:2^8,B:3^2",0.0,pythagorean,39
6561,10758400,10764961,4035630,6,44,False,3281,"C:17^2,C:193^2",0.5322515014884307,0.9811340845946379,"C:17^2,C:193^2",0.06450300297686144,1.6985166419858742,"A:3^8,B:41^2",0.11166610734915886,pythagorean,40
6889,11861136,11868025,492380070,8,178,False,3445,"C:5^2,C:13^2,C:53^2",0.4069336121302142,0.0,"A:83^2,B:2^4,B:3^2,B:7^2",0.0,0.0,"B:2^4,B:7^2,B:41^2,C:5^2",0.0,pythagorean,41
7225,13046544,13053769,554631630,7,81,False,3613,C:3613^2,0.4068922777139053,0.0,"A:5^2,A:17^2,B:2^4,B:3^2,B:7^2",0.0,0.0,"A:5^2,A:17^2,B:2^4,B:3^2,B:7^2",0.0,pythagorean,42
7569,14318656,14326225,311513070,7,85,False,3785,"C:5^2,C:757^2",0.4212722528313753,0.0,"A:3^2,A:29^2,B:2^6,B:11^2",0.0,0.0,"A:3^2,A:29^2,B:2^6,B:11^2",0.0,pythagorean,43
7921,15681600,15689521,116334570,7,89,False,3961,"C:17^2,C:233^2",0.4460618324509179,0.0,"A:89^2,B:2^6,B:3^4",0.0,0.0,"A:89^2,B:2^6,B:3^4",0.0,pythagorean,44
8281,17139600,17147881,260013390,8,179,False,4141,"C:41^2,C:101^2",0.4298404127138686,0.0,"A:7^2,A:13^2,B:2^4,B:23^2",0.0,0.0,"A:7^2,A:13^2,B:2^4,B:23^2",0.0,pythagorean,45
