n,is_prime_index,p,residue_mod_p2,quotient_mod_p,method,status
208,0,3,6,2,small-prime recurrence scan,not_squarefull
209,0,23,276,12,small-prime recurrence scan,not_squarefull
210,0,2,2,1,small-prime recurrence scan,not_squarefull
211,1,421,57677,137,small-prime recurrence scan,not_squarefull
212,0,3,3,1,small-prime recurrence scan,not_squarefull
213,0,5,10,2,small-prime recurrence scan,not_squarefull
214,0,2,2,1,small-prime recurrence scan,not_squarefull
215,0,29,667,23,small-prime recurrence scan,not_squarefull
216,0,5,5,1,small-prime recurrence scan,not_squarefull
217,0,61,305,5,small-prime recurrence scan,not_squarefull
218,0,2,2,1,small-prime recurrence scan,not_squarefull
219,0,5,5,1,small-prime recurrence scan,not_squarefull
220,0,3,6,2,small-prime recurrence scan,not_squarefull
221,0,79,3397,43,small-prime recurrence scan,not_squarefull
222,0,2,2,1,small-prime recurrence scan,not_squarefull
223,1,7583,55143576,7272,small-prime recurrence scan,not_squarefull
224,0,3,3,1,small-prime recurrence scan,not_squarefull
225,0,7,28,4,small-prime recurrence scan,not_squarefull
226,0,2,2,1,small-prime recurrence scan,not_squarefull
227,1,5449,27277694,5006,small-prime recurrence scan,not_squarefull
228,0,5,15,3,small-prime recurrence scan,not_squarefull
229,1,1373,1145082,834,small-prime recurrence scan,not_squarefull
230,0,2,2,1,small-prime recurrence scan,not_squarefull
231,0,5,20,4,small-prime recurrence scan,not_squarefull
232,0,3,6,2,small-prime recurrence scan,not_squarefull
233,1,1399,1233918,882,small-prime recurrence scan,not_squarefull
234,0,2,2,1,small-prime recurrence scan,not_squarefull
235,0,29,377,13,small-prime recurrence scan,not_squarefull
236,0,3,3,1,small-prime recurrence scan,not_squarefull
237,0,5,15,3,small-prime recurrence scan,not_squarefull
238,0,2,2,1,small-prime recurrence scan,not_squarefull
239,1,479,124540,260,small-prime recurrence scan,not_squarefull
240,0,7,7,1,small-prime recurrence scan,not_squarefull
241,1,1447,1179305,815,small-prime recurrence scan,not_squarefull
242,0,2,2,1,small-prime recurrence scan,not_squarefull
243,0,5,10,2,small-prime recurrence scan,not_squarefull
244,0,3,6,2,small-prime recurrence scan,not_squarefull
245,0,29,232,8,small-prime recurrence scan,not_squarefull
246,0,2,2,1,small-prime recurrence scan,not_squarefull
247,0,37,666,18,small-prime recurrence scan,not_squarefull
248,0,3,3,1,small-prime recurrence scan,not_squarefull
249,0,5,5,1,small-prime recurrence scan,not_squarefull
250,0,2,2,1,small-prime recurrence scan,not_squarefull
251,1,503,249488,496,small-prime recurrence scan,not_squarefull
252,0,5,10,2,small-prime recurrence scan,not_squarefull
253,0,47,1081,23,small-prime recurrence scan,not_squarefull
254,0,2,2,1,small-prime recurrence scan,not_squarefull
255,0,7,35,5,small-prime recurrence scan,not_squarefull
256,0,3,6,2,small-prime recurrence scan,not_squarefull
257,1,1640689,2624872703540,1599860,prime-index congruence search,not_squarefull
258,0,2,2,1,small-prime recurrence scan,not_squarefull
259,0,223,4906,22,small-prime recurrence scan,not_squarefull
260,0,3,3,1,small-prime recurrence scan,not_squarefull
261,0,5,20,4,small-prime recurrence scan,not_squarefull
262,0,2,2,1,small-prime recurrence scan,not_squarefull
263,1,90473,6455067604,71348,small-prime recurrence scan,not_squarefull
264,0,5,20,4,small-prime recurrence scan,not_squarefull
265,0,29,783,27,small-prime recurrence scan,not_squarefull
266,0,2,2,1,small-prime recurrence scan,not_squarefull
267,0,5,15,3,small-prime recurrence scan,not_squarefull
268,0,3,6,2,small-prime recurrence scan,not_squarefull
269,1,2153,3606275,1675,small-prime recurrence scan,not_squarefull
270,0,2,2,1,small-prime recurrence scan,not_squarefull
271,1,541,110364,204,small-prime recurrence scan,not_squarefull
272,0,3,3,1,small-prime recurrence scan,not_squarefull
273,0,5,10,2,small-prime recurrence scan,not_squarefull
274,0,2,2,1,small-prime recurrence scan,not_squarefull
275,0,23,391,17,small-prime recurrence scan,not_squarefull
276,0,5,5,1,small-prime recurrence scan,not_squarefull
277,1,,,,,unresolved_by_search
278,0,2,2,1,small-prime recurrence scan,not_squarefull
279,0,5,5,1,small-prime recurrence scan,not_squarefull
280,0,3,6,2,small-prime recurrence scan,not_squarefull
281,1,9198817,77307603172177,8404081,prime-index congruence search,not_squarefull
282,0,2,2,1,small-prime recurrence scan,not_squarefull
283,1,14149,43578920,3080,small-prime recurrence scan,not_squarefull
284,0,3,3,1,small-prime recurrence scan,not_squarefull
285,0,7,42,6,small-prime recurrence scan,not_squarefull
286,0,2,2,1,small-prime recurrence scan,not_squarefull
287,0,239,56643,237,small-prime recurrence scan,not_squarefull
288,0,5,15,3,small-prime recurrence scan,not_squarefull
289,0,103,7004,68,small-prime recurrence scan,not_squarefull
290,0,2,2,1,small-prime recurrence scan,not_squarefull
291,0,5,20,4,small-prime recurrence scan,not_squarefull
292,0,3,6,2,small-prime recurrence scan,not_squarefull
293,1,,,,,unresolved_by_search
294,0,2,2,1,small-prime recurrence scan,not_squarefull
295,0,29,348,12,small-prime recurrence scan,not_squarefull
296,0,3,3,1,small-prime recurrence scan,not_squarefull
297,0,5,15,3,small-prime recurrence scan,not_squarefull
298,0,2,2,1,small-prime recurrence scan,not_squarefull
299,0,47,1880,40,small-prime recurrence scan,not_squarefull
300,0,7,21,3,small-prime recurrence scan,not_squarefull
301,0,239,23183,97,small-prime recurrence scan,not_squarefull
302,0,2,2,1,small-prime recurrence scan,not_squarefull
303,0,5,10,2,small-prime recurrence scan,not_squarefull
304,0,3,6,2,small-prime recurrence scan,not_squarefull
305,0,29,203,7,small-prime recurrence scan,not_squarefull
306,0,2,2,1,small-prime recurrence scan,not_squarefull
307,1,613,268494,438,small-prime recurrence scan,not_squarefull
308,0,3,3,1,small-prime recurrence scan,not_squarefull
309,0,5,5,1,small-prime recurrence scan,not_squarefull
310,0,2,2,1,small-prime recurrence scan,not_squarefull
311,1,,,,,unresolved_by_search
312,0,5,10,2,small-prime recurrence scan,not_squarefull
313,1,1879,2204067,1173,small-prime recurrence scan,not_squarefull
314,0,2,2,1,small-prime recurrence scan,not_squarefull
315,0,29,58,2,small-prime recurrence scan,not_squarefull
316,0,3,6,2,small-prime recurrence scan,not_squarefull
317,1,1901,2473201,1301,small-prime recurrence scan,not_squarefull
318,0,2,2,1,small-prime recurrence scan,not_squarefull
319,0,23,115,5,small-prime recurrence scan,not_squarefull
320,0,3,3,1,small-prime recurrence scan,not_squarefull
321,0,5,20,4,small-prime recurrence scan,not_squarefull
322,0,2,2,1,small-prime recurrence scan,not_squarefull
323,0,37,555,15,small-prime recurrence scan,not_squarefull
324,0,5,20,4,small-prime recurrence scan,not_squarefull
325,0,29,754,26,small-prime recurrence scan,not_squarefull
326,0,2,2,1,small-prime recurrence scan,not_squarefull
327,0,5,15,3,small-prime recurrence scan,not_squarefull
328,0,3,6,2,small-prime recurrence scan,not_squarefull
329,0,239,13384,56,small-prime recurrence scan,not_squarefull
330,0,2,2,1,small-prime recurrence scan,not_squarefull
331,1,661,126251,191,small-prime recurrence scan,not_squarefull
332,0,3,3,1,small-prime recurrence scan,not_squarefull
333,0,5,10,2,small-prime recurrence scan,not_squarefull
334,0,2,2,1,small-prime recurrence scan,not_squarefull
335,0,29,609,21,small-prime recurrence scan,not_squarefull
336,0,5,5,1,small-prime recurrence scan,not_squarefull
337,1,8089,1189083,147,small-prime recurrence scan,not_squarefull
338,0,2,2,1,small-prime recurrence scan,not_squarefull
339,0,5,5,1,small-prime recurrence scan,not_squarefull
340,0,3,6,2,small-prime recurrence scan,not_squarefull
341,0,23,506,22,small-prime recurrence scan,not_squarefull
342,0,2,2,1,small-prime recurrence scan,not_squarefull
343,0,239,37045,155,small-prime recurrence scan,not_squarefull
344,0,3,3,1,small-prime recurrence scan,not_squarefull
345,0,7,7,1,small-prime recurrence scan,not_squarefull
346,0,2,2,1,small-prime recurrence scan,not_squarefull
347,1,2777,7689513,2769,small-prime recurrence scan,not_squarefull
348,0,5,15,3,small-prime recurrence scan,not_squarefull
349,1,234529,22337714605,95245,prime-index congruence search,not_squarefull
350,0,2,2,1,small-prime recurrence scan,not_squarefull
351,0,5,20,4,small-prime recurrence scan,not_squarefull
352,0,3,6,2,small-prime recurrence scan,not_squarefull
353,1,4943,3010287,609,small-prime recurrence scan,not_squarefull
354,0,2,2,1,small-prime recurrence scan,not_squarefull
355,0,29,319,11,small-prime recurrence scan,not_squarefull
356,0,3,3,1,small-prime recurrence scan,not_squarefull
357,0,5,15,3,small-prime recurrence scan,not_squarefull
358,0,2,2,1,small-prime recurrence scan,not_squarefull
359,1,719,166089,231,small-prime recurrence scan,not_squarefull
360,0,7,35,5,small-prime recurrence scan,not_squarefull
361,0,37,1184,32,small-prime recurrence scan,not_squarefull
362,0,2,2,1,small-prime recurrence scan,not_squarefull
363,0,5,10,2,small-prime recurrence scan,not_squarefull
364,0,3,6,2,small-prime recurrence scan,not_squarefull
365,0,29,174,6,small-prime recurrence scan,not_squarefull
366,0,2,2,1,small-prime recurrence scan,not_squarefull
367,1,733,115814,158,small-prime recurrence scan,not_squarefull
368,0,3,3,1,small-prime recurrence scan,not_squarefull
369,0,5,5,1,small-prime recurrence scan,not_squarefull
370,0,2,2,1,small-prime recurrence scan,not_squarefull
371,0,239,27246,114,small-prime recurrence scan,not_squarefull
372,0,5,10,2,small-prime recurrence scan,not_squarefull
373,1,2237,2829805,1265,small-prime recurrence scan,not_squarefull
374,0,2,2,1,small-prime recurrence scan,not_squarefull
375,0,7,14,2,small-prime recurrence scan,not_squarefull
376,0,3,6,2,small-prime recurrence scan,not_squarefull
377,0,79,6162,78,small-prime recurrence scan,not_squarefull
378,0,2,2,1,small-prime recurrence scan,not_squarefull
379,1,757,557152,736,small-prime recurrence scan,not_squarefull
380,0,3,3,1,small-prime recurrence scan,not_squarefull
381,0,5,20,4,small-prime recurrence scan,not_squarefull
382,0,2,2,1,small-prime recurrence scan,not_squarefull
383,1,35389201,908576754980242,25673842,prime-index congruence search,not_squarefull
384,0,5,20,4,small-prime recurrence scan,not_squarefull
385,0,23,230,10,small-prime recurrence scan,not_squarefull
386,0,2,2,1,small-prime recurrence scan,not_squarefull
387,0,5,15,3,small-prime recurrence scan,not_squarefull
388,0,3,6,2,small-prime recurrence scan,not_squarefull
389,1,27661789,584212640779127,21119843,prime-index congruence search,not_squarefull
390,0,2,2,1,small-prime recurrence scan,not_squarefull
391,0,47,1269,27,small-prime recurrence scan,not_squarefull
392,0,3,3,1,small-prime recurrence scan,not_squarefull
393,0,5,10,2,small-prime recurrence scan,not_squarefull
394,0,2,2,1,small-prime recurrence scan,not_squarefull
395,0,29,580,20,small-prime recurrence scan,not_squarefull
396,0,5,5,1,small-prime recurrence scan,not_squarefull
397,1,2381,3790552,1592,small-prime recurrence scan,not_squarefull
398,0,2,2,1,small-prime recurrence scan,not_squarefull
399,0,5,5,1,small-prime recurrence scan,not_squarefull
400,0,3,6,2,small-prime recurrence scan,not_squarefull
401,1,3209,9764987,3043,small-prime recurrence scan,not_squarefull
402,0,2,2,1,small-prime recurrence scan,not_squarefull
403,0,61,1098,18,small-prime recurrence scan,not_squarefull
404,0,3,3,1,small-prime recurrence scan,not_squarefull
405,0,7,21,3,small-prime recurrence scan,not_squarefull
406,0,2,2,1,small-prime recurrence scan,not_squarefull
407,0,23,92,4,small-prime recurrence scan,not_squarefull
408,0,5,15,3,small-prime recurrence scan,not_squarefull
409,1,26177,324699508,12404,small-prime recurrence scan,not_squarefull
410,0,2,2,1,small-prime recurrence scan,not_squarefull
411,0,5,20,4,small-prime recurrence scan,not_squarefull
412,0,3,6,2,small-prime recurrence scan,not_squarefull
413,0,239,41108,172,small-prime recurrence scan,not_squarefull
414,0,2,2,1,small-prime recurrence scan,not_squarefull
415,0,29,290,10,small-prime recurrence scan,not_squarefull
