n,is_prime_index,p,residue_mod_p2,quotient_mod_p,method,status
977,1,5861,29252251,4991,small-prime recurrence scan,not_squarefull
978,0,2,2,1,small-prime recurrence scan,not_squarefull
979,0,23,207,9,small-prime recurrence scan,not_squarefull
980,0,3,3,1,small-prime recurrence scan,not_squarefull
981,0,5,20,4,small-prime recurrence scan,not_squarefull
982,0,2,2,1,small-prime recurrence scan,not_squarefull
983,1,64877,3219391371,49623,small-prime recurrence scan,not_squarefull
984,0,5,20,4,small-prime recurrence scan,not_squarefull
985,0,29,435,15,small-prime recurrence scan,not_squarefull
986,0,2,2,1,small-prime recurrence scan,not_squarefull
987,0,5,15,3,small-prime recurrence scan,not_squarefull
988,0,3,6,2,small-prime recurrence scan,not_squarefull
989,0,47,611,13,small-prime recurrence scan,not_squarefull
990,0,2,2,1,small-prime recurrence scan,not_squarefull
991,1,707573,128132979424,181088,prime-index congruence search,not_squarefull
992,0,3,3,1,small-prime recurrence scan,not_squarefull
993,0,5,10,2,small-prime recurrence scan,not_squarefull
994,0,2,2,1,small-prime recurrence scan,not_squarefull
995,0,29,290,10,small-prime recurrence scan,not_squarefull
996,0,5,5,1,small-prime recurrence scan,not_squarefull
997,1,229309,41013978431,178859,prime-index congruence search,not_squarefull
998,0,2,2,1,small-prime recurrence scan,not_squarefull
999,0,5,5,1,small-prime recurrence scan,not_squarefull
1000,0,3,6,2,small-prime recurrence scan,not_squarefull
1001,0,23,69,3,small-prime recurrence scan,not_squarefull
1002,0,2,2,1,small-prime recurrence scan,not_squarefull
1003,0,103,3090,30,small-prime recurrence scan,not_squarefull
1004,0,3,3,1,small-prime recurrence scan,not_squarefull
1005,0,7,14,2,small-prime recurrence scan,not_squarefull
1006,0,2,2,1,small-prime recurrence scan,not_squarefull
1007,0,37,925,25,small-prime recurrence scan,not_squarefull
1008,0,5,15,3,small-prime recurrence scan,not_squarefull
1009,1,,,,,unresolved_by_search
1010,0,2,2,1,small-prime recurrence scan,not_squarefull
1011,0,5,20,4,small-prime recurrence scan,not_squarefull
1012,0,3,6,2,small-prime recurrence scan,not_squarefull
1013,1,17073101,3785021126195,221695,prime-index congruence search,not_squarefull
1014,0,2,2,1,small-prime recurrence scan,not_squarefull
1015,0,41,984,24,small-prime recurrence scan,not_squarefull
1016,0,3,3,1,small-prime recurrence scan,not_squarefull
1017,0,5,15,3,small-prime recurrence scan,not_squarefull
1018,0,2,2,1,small-prime recurrence scan,not_squarefull
1019,1,2039,3509119,1721,small-prime recurrence scan,not_squarefull
1020,0,7,42,6,small-prime recurrence scan,not_squarefull
1021,1,357349,18626816625,52125,prime-index congruence search,not_squarefull
1022,0,2,2,1,small-prime recurrence scan,not_squarefull
1023,0,5,10,2,small-prime recurrence scan,not_squarefull
1024,0,3,6,2,small-prime recurrence scan,not_squarefull
1025,0,29,696,24,small-prime recurrence scan,not_squarefull
1026,0,2,2,1,small-prime recurrence scan,not_squarefull
1027,0,157,3297,21,small-prime recurrence scan,not_squarefull
1028,0,3,3,1,small-prime recurrence scan,not_squarefull
1029,0,5,5,1,small-prime recurrence scan,not_squarefull
1030,0,2,2,1,small-prime recurrence scan,not_squarefull
1031,1,2063,2873759,1393,small-prime recurrence scan,not_squarefull
1032,0,5,10,2,small-prime recurrence scan,not_squarefull
1033,1,22727,415290471,18273,small-prime recurrence scan,not_squarefull
1034,0,2,2,1,small-prime recurrence scan,not_squarefull
1035,0,7,21,3,small-prime recurrence scan,not_squarefull
1036,0,3,6,2,small-prime recurrence scan,not_squarefull
1037,0,103,3914,38,small-prime recurrence scan,not_squarefull
1038,0,2,2,1,small-prime recurrence scan,not_squarefull
1039,1,10391,18911620,1820,small-prime recurrence scan,not_squarefull
1040,0,3,3,1,small-prime recurrence scan,not_squarefull
1041,0,5,20,4,small-prime recurrence scan,not_squarefull
1042,0,2,2,1,small-prime recurrence scan,not_squarefull
1043,0,239,20554,86,small-prime recurrence scan,not_squarefull
1044,0,5,20,4,small-prime recurrence scan,not_squarefull
1045,0,23,322,14,small-prime recurrence scan,not_squarefull
1046,0,2,2,1,small-prime recurrence scan,not_squarefull
1047,0,5,15,3,small-prime recurrence scan,not_squarefull
1048,0,3,6,2,small-prime recurrence scan,not_squarefull
1049,1,5016317,17329203169739,3454567,prime-index congruence search,not_squarefull
1050,0,2,2,1,small-prime recurrence scan,not_squarefull
1051,1,496073,61953564824,124888,prime-index congruence search,not_squarefull
1052,0,3,3,1,small-prime recurrence scan,not_squarefull
1053,0,5,10,2,small-prime recurrence scan,not_squarefull
1054,0,2,2,1,small-prime recurrence scan,not_squarefull
1055,0,29,261,9,small-prime recurrence scan,not_squarefull
1056,0,5,5,1,small-prime recurrence scan,not_squarefull
1057,0,239,44215,185,small-prime recurrence scan,not_squarefull
1058,0,2,2,1,small-prime recurrence scan,not_squarefull
1059,0,5,5,1,small-prime recurrence scan,not_squarefull
1060,0,3,6,2,small-prime recurrence scan,not_squarefull
1061,1,6367,22755658,3574,small-prime recurrence scan,not_squarefull
1062,0,2,2,1,small-prime recurrence scan,not_squarefull
1063,1,,,,,unresolved_by_search
1064,0,3,3,1,small-prime recurrence scan,not_squarefull
1065,0,7,28,4,small-prime recurrence scan,not_squarefull
1066,0,2,2,1,small-prime recurrence scan,not_squarefull
1067,0,23,184,8,small-prime recurrence scan,not_squarefull
1068,0,5,15,3,small-prime recurrence scan,not_squarefull
1069,1,25657,249001185,9705,small-prime recurrence scan,not_squarefull
1070,0,2,2,1,small-prime recurrence scan,not_squarefull
1071,0,5,20,4,small-prime recurrence scan,not_squarefull
1072,0,3,6,2,small-prime recurrence scan,not_squarefull
1073,0,223,27429,123,small-prime recurrence scan,not_squarefull
1074,0,2,2,1,small-prime recurrence scan,not_squarefull
1075,0,29,812,28,small-prime recurrence scan,not_squarefull
1076,0,3,3,1,small-prime recurrence scan,not_squarefull
1077,0,5,15,3,small-prime recurrence scan,not_squarefull
1078,0,2,2,1,small-prime recurrence scan,not_squarefull
1079,0,79,3002,38,small-prime recurrence scan,not_squarefull
1080,0,7,7,1,small-prime recurrence scan,not_squarefull
1081,0,229,46945,205,small-prime recurrence scan,not_squarefull
1082,0,2,2,1,small-prime recurrence scan,not_squarefull
1083,0,5,10,2,small-prime recurrence scan,not_squarefull
1084,0,3,6,2,small-prime recurrence scan,not_squarefull
1085,0,29,667,23,small-prime recurrence scan,not_squarefull
1086,0,2,2,1,small-prime recurrence scan,not_squarefull
1087,1,323927,70507570455,217665,prime-index congruence search,not_squarefull
1088,0,3,3,1,small-prime recurrence scan,not_squarefull
1089,0,5,5,1,small-prime recurrence scan,not_squarefull
1090,0,2,2,1,small-prime recurrence scan,not_squarefull
1091,1,78553,717031784,9128,small-prime recurrence scan,not_squarefull
1092,0,5,10,2,small-prime recurrence scan,not_squarefull
1093,1,11883097,320712904933,26989,prime-index congruence search,not_squarefull
1094,0,2,2,1,small-prime recurrence scan,not_squarefull
1095,0,7,35,5,small-prime recurrence scan,not_squarefull
1096,0,3,6,2,small-prime recurrence scan,not_squarefull
1097,1,59239,1655730050,27950,small-prime recurrence scan,not_squarefull
1098,0,2,2,1,small-prime recurrence scan,not_squarefull
1099,0,239,956,4,small-prime recurrence scan,not_squarefull
1100,0,3,3,1,small-prime recurrence scan,not_squarefull
1101,0,5,20,4,small-prime recurrence scan,not_squarefull
1102,0,2,2,1,small-prime recurrence scan,not_squarefull
1103,1,2207,4378688,1984,small-prime recurrence scan,not_squarefull
1104,0,5,20,4,small-prime recurrence scan,not_squarefull
1105,0,29,377,13,small-prime recurrence scan,not_squarefull
1106,0,2,2,1,small-prime recurrence scan,not_squarefull
1107,0,5,15,3,small-prime recurrence scan,not_squarefull
1108,0,3,6,2,small-prime recurrence scan,not_squarefull
1109,1,6653,13991259,2103,small-prime recurrence scan,not_squarefull
1110,0,2,2,1,small-prime recurrence scan,not_squarefull
1111,0,23,437,19,small-prime recurrence scan,not_squarefull
1112,0,3,3,1,small-prime recurrence scan,not_squarefull
1113,0,5,10,2,small-prime recurrence scan,not_squarefull
1114,0,2,2,1,small-prime recurrence scan,not_squarefull
1115,0,29,232,8,small-prime recurrence scan,not_squarefull
1116,0,5,5,1,small-prime recurrence scan,not_squarefull
1117,1,6703,26570692,3964,small-prime recurrence scan,not_squarefull
1118,0,2,2,1,small-prime recurrence scan,not_squarefull
1119,0,5,5,1,small-prime recurrence scan,not_squarefull
1120,0,3,6,2,small-prime recurrence scan,not_squarefull
1121,0,37,74,2,small-prime recurrence scan,not_squarefull
1122,0,2,2,1,small-prime recurrence scan,not_squarefull
1123,1,38183,587025442,15374,small-prime recurrence scan,not_squarefull
1124,0,3,3,1,small-prime recurrence scan,not_squarefull
1125,0,7,42,6,small-prime recurrence scan,not_squarefull
1126,0,2,2,1,small-prime recurrence scan,not_squarefull
1127,0,47,799,17,small-prime recurrence scan,not_squarefull
1128,0,5,15,3,small-prime recurrence scan,not_squarefull
1129,1,69997,2991181801,42733,small-prime recurrence scan,not_squarefull
1130,0,2,2,1,small-prime recurrence scan,not_squarefull
1131,0,5,20,4,small-prime recurrence scan,not_squarefull
1132,0,3,6,2,small-prime recurrence scan,not_squarefull
1133,0,23,299,13,small-prime recurrence scan,not_squarefull
1134,0,2,2,1,small-prime recurrence scan,not_squarefull
1135,0,29,783,27,small-prime recurrence scan,not_squarefull
1136,0,3,3,1,small-prime recurrence scan,not_squarefull
1137,0,5,15,3,small-prime recurrence scan,not_squarefull
1138,0,2,2,1,small-prime recurrence scan,not_squarefull
1139,0,103,6386,62,small-prime recurrence scan,not_squarefull
1140,0,7,21,3,small-prime recurrence scan,not_squarefull
1141,0,239,14818,62,small-prime recurrence scan,not_squarefull
1142,0,2,2,1,small-prime recurrence scan,not_squarefull
1143,0,5,10,2,small-prime recurrence scan,not_squarefull
1144,0,3,6,2,small-prime recurrence scan,not_squarefull
1145,0,29,638,22,small-prime recurrence scan,not_squarefull
1146,0,2,2,1,small-prime recurrence scan,not_squarefull
1147,0,61,549,9,small-prime recurrence scan,not_squarefull
1148,0,3,3,1,small-prime recurrence scan,not_squarefull
1149,0,5,5,1,small-prime recurrence scan,not_squarefull
1150,0,2,2,1,small-prime recurrence scan,not_squarefull
1151,1,75967,4917495844,64732,small-prime recurrence scan,not_squarefull
1152,0,5,10,2,small-prime recurrence scan,not_squarefull
1153,1,34591,71949280,2080,small-prime recurrence scan,not_squarefull
1154,0,2,2,1,small-prime recurrence scan,not_squarefull
1155,0,23,161,7,small-prime recurrence scan,not_squarefull
1156,0,3,6,2,small-prime recurrence scan,not_squarefull
1157,0,79,1264,16,small-prime recurrence scan,not_squarefull
1158,0,2,2,1,small-prime recurrence scan,not_squarefull
1159,0,37,703,19,small-prime recurrence scan,not_squarefull
1160,0,3,3,1,small-prime recurrence scan,not_squarefull
1161,0,5,20,4,small-prime recurrence scan,not_squarefull
1162,0,2,2,1,small-prime recurrence scan,not_squarefull
1163,1,58151,65419875,1125,small-prime recurrence scan,not_squarefull
1164,0,5,20,4,small-prime recurrence scan,not_squarefull
1165,0,29,348,12,small-prime recurrence scan,not_squarefull
1166,0,2,2,1,small-prime recurrence scan,not_squarefull
1167,0,5,15,3,small-prime recurrence scan,not_squarefull
1168,0,3,6,2,small-prime recurrence scan,not_squarefull
1169,0,239,5019,21,small-prime recurrence scan,not_squarefull
1170,0,2,2,1,small-prime recurrence scan,not_squarefull
1171,1,2341,4541540,1940,small-prime recurrence scan,not_squarefull
1172,0,3,3,1,small-prime recurrence scan,not_squarefull
1173,0,5,10,2,small-prime recurrence scan,not_squarefull
1174,0,2,2,1,small-prime recurrence scan,not_squarefull
1175,0,29,203,7,small-prime recurrence scan,not_squarefull
1176,0,5,5,1,small-prime recurrence scan,not_squarefull
1177,0,23,23,1,small-prime recurrence scan,not_squarefull
1178,0,2,2,1,small-prime recurrence scan,not_squarefull
1179,0,5,5,1,small-prime recurrence scan,not_squarefull
1180,0,3,6,2,small-prime recurrence scan,not_squarefull
1181,1,,,,,unresolved_by_search
1182,0,2,2,1,small-prime recurrence scan,not_squarefull
1183,0,79,2765,35,small-prime recurrence scan,not_squarefull
1184,0,3,3,1,small-prime recurrence scan,not_squarefull
1185,0,7,7,1,small-prime recurrence scan,not_squarefull
1186,0,2,2,1,small-prime recurrence scan,not_squarefull
1187,1,9497,31083681,3273,small-prime recurrence scan,not_squarefull
1188,0,5,15,3,small-prime recurrence scan,not_squarefull
1189,0,2297,4619267,2011,small-prime recurrence scan,not_squarefull
1190,0,2,2,1,small-prime recurrence scan,not_squarefull
1191,0,5,20,4,small-prime recurrence scan,not_squarefull
1192,0,3,6,2,small-prime recurrence scan,not_squarefull
1193,1,7159,50642766,7074,small-prime recurrence scan,not_squarefull
1194,0,2,2,1,small-prime recurrence scan,not_squarefull
1195,0,29,754,26,small-prime recurrence scan,not_squarefull
1196,0,3,3,1,small-prime recurrence scan,not_squarefull
1197,0,5,15,3,small-prime recurrence scan,not_squarefull
1198,0,2,2,1,small-prime recurrence scan,not_squarefull
1199,0,23,414,18,small-prime recurrence scan,not_squarefull
1200,0,7,35,5,small-prime recurrence scan,not_squarefull
1201,1,727807,143923834250,197750,prime-index congruence search,not_squarefull
1202,0,2,2,1,small-prime recurrence scan,not_squarefull
1203,0,5,10,2,small-prime recurrence scan,not_squarefull
1204,0,3,6,2,small-prime recurrence scan,not_squarefull
1205,0,29,609,21,small-prime recurrence scan,not_squarefull
1206,0,2,2,1,small-prime recurrence scan,not_squarefull
1207,0,103,8034,78,small-prime recurrence scan,not_squarefull
1208,0,3,3,1,small-prime recurrence scan,not_squarefull
1209,0,5,5,1,small-prime recurrence scan,not_squarefull
1210,0,2,2,1,small-prime recurrence scan,not_squarefull
1211,0,239,18881,79,small-prime recurrence scan,not_squarefull
1212,0,5,10,2,small-prime recurrence scan,not_squarefull
1213,1,46093,735506001,15957,small-prime recurrence scan,not_squarefull
1214,0,2,2,1,small-prime recurrence scan,not_squarefull
1215,0,7,14,2,small-prime recurrence scan,not_squarefull
1216,0,3,6,2,small-prime recurrence scan,not_squarefull
1217,1,65719,256961290,3910,small-prime recurrence scan,not_squarefull
1218,0,2,2,1,small-prime recurrence scan,not_squarefull
1219,0,47,188,4,small-prime recurrence scan,not_squarefull
1220,0,3,3,1,small-prime recurrence scan,not_squarefull
1221,0,5,20,4,small-prime recurrence scan,not_squarefull
1222,0,2,2,1,small-prime recurrence scan,not_squarefull
1223,1,2447,22023,9,small-prime recurrence scan,not_squarefull
1224,0,5,20,4,small-prime recurrence scan,not_squarefull
1225,0,29,319,11,small-prime recurrence scan,not_squarefull
1226,0,2,2,1,small-prime recurrence scan,not_squarefull
1227,0,5,15,3,small-prime recurrence scan,not_squarefull
1228,0,3,6,2,small-prime recurrence scan,not_squarefull
1229,1,9833,63167192,6424,small-prime recurrence scan,not_squarefull
1230,0,2,2,1,small-prime recurrence scan,not_squarefull
1231,1,22159,164176031,7409,small-prime recurrence scan,not_squarefull
1232,0,3,3,1,small-prime recurrence scan,not_squarefull
1233,0,5,10,2,small-prime recurrence scan,not_squarefull
1234,0,2,2,1,small-prime recurrence scan,not_squarefull
1235,0,29,174,6,small-prime recurrence scan,not_squarefull
1236,0,5,5,1,small-prime recurrence scan,not_squarefull
1237,1,7488797,9386847577244,1253452,prime-index congruence search,not_squarefull
1238,0,2,2,1,small-prime recurrence scan,not_squarefull
1239,0,5,5,1,small-prime recurrence scan,not_squarefull
1240,0,3,6,2,small-prime recurrence scan,not_squarefull
1241,0,103,8858,86,small-prime recurrence scan,not_squarefull
1242,0,2,2,1,small-prime recurrence scan,not_squarefull
1243,0,23,138,6,small-prime recurrence scan,not_squarefull
1244,0,3,3,1,small-prime recurrence scan,not_squarefull
1245,0,7,21,3,small-prime recurrence scan,not_squarefull
1246,0,2,2,1,small-prime recurrence scan,not_squarefull
1247,0,11437,89917694,7862,small-prime recurrence scan,not_squarefull
1248,0,5,15,3,small-prime recurrence scan,not_squarefull
1249,1,257293,30836051464,119848,prime-index congruence search,not_squarefull
1250,0,2,2,1,small-prime recurrence scan,not_squarefull
1251,0,5,20,4,small-prime recurrence scan,not_squarefull
1252,0,3,6,2,small-prime recurrence scan,not_squarefull
1253,0,239,32743,137,small-prime recurrence scan,not_squarefull
1254,0,2,2,1,small-prime recurrence scan,not_squarefull
1255,0,29,725,25,small-prime recurrence scan,not_squarefull
1256,0,3,3,1,small-prime recurrence scan,not_squarefull
1257,0,5,15,3,small-prime recurrence scan,not_squarefull
1258,0,2,2,1,small-prime recurrence scan,not_squarefull
1259,1,83093,3674040088,44216,small-prime recurrence scan,not_squarefull
1260,0,11,88,8,small-prime recurrence scan,not_squarefull
1261,0,79,1027,13,small-prime recurrence scan,not_squarefull
1262,0,2,2,1,small-prime recurrence scan,not_squarefull
1263,0,5,10,2,small-prime recurrence scan,not_squarefull
1264,0,3,6,2,small-prime recurrence scan,not_squarefull
1265,0,29,580,20,small-prime recurrence scan,not_squarefull
1266,0,2,2,1,small-prime recurrence scan,not_squarefull
1267,0,239,56404,236,small-prime recurrence scan,not_squarefull
1268,0,3,3,1,small-prime recurrence scan,not_squarefull
1269,0,5,5,1,small-prime recurrence scan,not_squarefull
1270,0,2,2,1,small-prime recurrence scan,not_squarefull
1271,0,61,2318,38,small-prime recurrence scan,not_squarefull
1272,0,5,10,2,small-prime recurrence scan,not_squarefull
1273,0,37,1221,33,small-prime recurrence scan,not_squarefull
1274,0,2,2,1,small-prime recurrence scan,not_squarefull
1275,0,7,28,4,small-prime recurrence scan,not_squarefull
1276,0,3,6,2,small-prime recurrence scan,not_squarefull
1277,1,12667841,103963539620967,8206887,prime-index congruence search,not_squarefull
1278,0,2,2,1,small-prime recurrence scan,not_squarefull
1279,1,2557,3480077,1361,small-prime recurrence scan,not_squarefull
1280,0,3,3,1,small-prime recurrence scan,not_squarefull
1281,0,5,20,4,small-prime recurrence scan,not_squarefull
1282,0,2,2,1,small-prime recurrence scan,not_squarefull
1283,1,115471,10558206356,91436,small-prime recurrence scan,not_squarefull
1284,0,5,20,4,small-prime recurrence scan,not_squarefull
1285,0,29,290,10,small-prime recurrence scan,not_squarefull
1286,0,2,2,1,small-prime recurrence scan,not_squarefull
1287,0,5,15,3,small-prime recurrence scan,not_squarefull
1288,0,3,6,2,small-prime recurrence scan,not_squarefull
1289,1,10313,46913837,4549,small-prime recurrence scan,not_squarefull
1290,0,2,2,1,small-prime recurrence scan,not_squarefull
1291,1,,,,,unresolved_by_search
1292,0,3,3,1,small-prime recurrence scan,not_squarefull
1293,0,5,10,2,small-prime recurrence scan,not_squarefull
1294,0,2,2,1,small-prime recurrence scan,not_squarefull
1295,0,29,145,5,small-prime recurrence scan,not_squarefull
1296,0,5,5,1,small-prime recurrence scan,not_squarefull
1297,1,,,,,unresolved_by_search
1298,0,2,2,1,small-prime recurrence scan,not_squarefull
1299,0,5,5,1,small-prime recurrence scan,not_squarefull
1300,0,3,6,2,small-prime recurrence scan,not_squarefull
1301,1,86896393,854493595052068,9833476,prime-index congruence search,not_squarefull
1302,0,2,2,1,small-prime recurrence scan,not_squarefull
1303,1,294479,14387949461,48859,prime-index congruence search,not_squarefull
1304,0,3,3,1,small-prime recurrence scan,not_squarefull
1305,0,7,35,5,small-prime recurrence scan,not_squarefull
1306,0,2,2,1,small-prime recurrence scan,not_squarefull
1307,1,243101,20846396952,85752,prime-index congruence search,not_squarefull
1308,0,5,15,3,small-prime recurrence scan,not_squarefull
1309,0,23,253,11,small-prime recurrence scan,not_squarefull
1310,0,2,2,1,small-prime recurrence scan,not_squarefull
1311,0,5,20,4,small-prime recurrence scan,not_squarefull
1312,0,3,6,2,small-prime recurrence scan,not_squarefull
1313,0,79,4029,51,small-prime recurrence scan,not_squarefull
1314,0,2,2,1,small-prime recurrence scan,not_squarefull
1315,0,29,696,24,small-prime recurrence scan,not_squarefull
1316,0,3,3,1,small-prime recurrence scan,not_squarefull
1317,0,5,15,3,small-prime recurrence scan,not_squarefull
1318,0,2,2,1,small-prime recurrence scan,not_squarefull
1319,1,31657,212861668,6724,small-prime recurrence scan,not_squarefull
1320,0,7,14,2,small-prime recurrence scan,not_squarefull
1321,1,1923377,345175006551,179463,prime-index congruence search,not_squarefull
1322,0,2,2,1,small-prime recurrence scan,not_squarefull
1323,0,5,10,2,small-prime recurrence scan,not_squarefull
1324,0,3,6,2,small-prime recurrence scan,not_squarefull
1325,0,29,551,19,small-prime recurrence scan,not_squarefull
1326,0,2,2,1,small-prime recurrence scan,not_squarefull
1327,1,23887,169143847,7081,small-prime recurrence scan,not_squarefull
1328,0,3,3,1,small-prime recurrence scan,not_squarefull
1329,0,5,5,1,small-prime recurrence scan,not_squarefull
1330,0,2,2,1,small-prime recurrence scan,not_squarefull
1331,0,23,115,5,small-prime recurrence scan,not_squarefull
1332,0,5,10,2,small-prime recurrence scan,not_squarefull
1333,0,61,1342,22,small-prime recurrence scan,not_squarefull
1334,0,2,2,1,small-prime recurrence scan,not_squarefull
1335,0,7,42,6,small-prime recurrence scan,not_squarefull
1336,0,3,6,2,small-prime recurrence scan,not_squarefull
1337,0,239,3346,14,small-prime recurrence scan,not_squarefull
1338,0,2,2,1,small-prime recurrence scan,not_squarefull
1339,0,79,5530,70,small-prime recurrence scan,not_squarefull
1340,0,3,3,1,small-prime recurrence scan,not_squarefull
1341,0,5,20,4,small-prime recurrence scan,not_squarefull
1342,0,2,2,1,small-prime recurrence scan,not_squarefull
1343,0,103,721,7,small-prime recurrence scan,not_squarefull
1344,0,5,20,4,small-prime recurrence scan,not_squarefull
1345,0,29,261,9,small-prime recurrence scan,not_squarefull
1346,0,2,2,1,small-prime recurrence scan,not_squarefull
1347,0,5,15,3,small-prime recurrence scan,not_squarefull
1348,0,3,6,2,small-prime recurrence scan,not_squarefull
1349,0,37,1110,30,small-prime recurrence scan,not_squarefull
1350,0,2,2,1,small-prime recurrence scan,not_squarefull
1351,0,239,27007,113,small-prime recurrence scan,not_squarefull
1352,0,3,3,1,small-prime recurrence scan,not_squarefull
1353,0,5,10,2,small-prime recurrence scan,not_squarefull
1354,0,2,2,1,small-prime recurrence scan,not_squarefull
1355,0,29,116,4,small-prime recurrence scan,not_squarefull
1356,0,5,5,1,small-prime recurrence scan,not_squarefull
1357,0,47,376,8,small-prime recurrence scan,not_squarefull
1358,0,2,2,1,small-prime recurrence scan,not_squarefull
1359,0,5,5,1,small-prime recurrence scan,not_squarefull
1360,0,3,6,2,small-prime recurrence scan,not_squarefull
1361,1,696833,130685454486,187542,prime-index congruence search,not_squarefull
1362,0,2,2,1,small-prime recurrence scan,not_squarefull
1363,0,3761,4893061,1301,small-prime recurrence scan,not_squarefull
1364,0,3,3,1,small-prime recurrence scan,not_squarefull
1365,0,29,812,28,small-prime recurrence scan,not_squarefull
1366,0,2,2,1,small-prime recurrence scan,not_squarefull
1367,1,13669,178653830,13070,small-prime recurrence scan,not_squarefull
1368,0,5,15,3,small-prime recurrence scan,not_squarefull
1369,0,223,40140,180,small-prime recurrence scan,not_squarefull
1370,0,2,2,1,small-prime recurrence scan,not_squarefull
1371,0,5,20,4,small-prime recurrence scan,not_squarefull
1372,0,3,6,2,small-prime recurrence scan,not_squarefull
1373,1,8237,52057840,6320,small-prime recurrence scan,not_squarefull
1374,0,2,2,1,small-prime recurrence scan,not_squarefull
1375,0,23,368,16,small-prime recurrence scan,not_squarefull
1376,0,3,3,1,small-prime recurrence scan,not_squarefull
1377,0,5,15,3,small-prime recurrence scan,not_squarefull
1378,0,2,2,1,small-prime recurrence scan,not_squarefull
1379,0,239,17208,72,small-prime recurrence scan,not_squarefull
1380,0,7,28,4,small-prime recurrence scan,not_squarefull
1381,1,19333,268612702,13894,small-prime recurrence scan,not_squarefull
1382,0,2,2,1,small-prime recurrence scan,not_squarefull
1383,0,5,10,2,small-prime recurrence scan,not_squarefull
1384,0,3,6,2,small-prime recurrence scan,not_squarefull
1385,0,29,522,18,small-prime recurrence scan,not_squarefull
1386,0,2,2,1,small-prime recurrence scan,not_squarefull
1387,0,37,370,10,small-prime recurrence scan,not_squarefull
1388,0,3,3,1,small-prime recurrence scan,not_squarefull
1389,0,5,5,1,small-prime recurrence scan,not_squarefull
1390,0,2,2,1,small-prime recurrence scan,not_squarefull
1391,0,79,2291,29,small-prime recurrence scan,not_squarefull
1392,0,5,10,2,small-prime recurrence scan,not_squarefull
1393,0,239,40869,171,small-prime recurrence scan,not_squarefull
1394,0,2,2,1,small-prime recurrence scan,not_squarefull
1395,0,7,7,1,small-prime recurrence scan,not_squarefull
1396,0,3,6,2,small-prime recurrence scan,not_squarefull
1397,0,23,230,10,small-prime recurrence scan,not_squarefull
1398,0,2,2,1,small-prime recurrence scan,not_squarefull
1399,1,2797,5146480,1840,small-prime recurrence scan,not_squarefull
1400,0,3,3,1,small-prime recurrence scan,not_squarefull
1401,0,5,20,4,small-prime recurrence scan,not_squarefull
1402,0,2,2,1,small-prime recurrence scan,not_squarefull
1403,0,47,1175,25,small-prime recurrence scan,not_squarefull
1404,0,5,20,4,small-prime recurrence scan,not_squarefull
1405,0,29,232,8,small-prime recurrence scan,not_squarefull
1406,0,2,2,1,small-prime recurrence scan,not_squarefull
1407,0,5,15,3,small-prime recurrence scan,not_squarefull
1408,0,3,6,2,small-prime recurrence scan,not_squarefull
1409,1,11273,2806977,249,small-prime recurrence scan,not_squarefull
1410,0,2,2,1,small-prime recurrence scan,not_squarefull
1411,0,103,2369,23,small-prime recurrence scan,not_squarefull
1412,0,3,3,1,small-prime recurrence scan,not_squarefull
1413,0,5,10,2,small-prime recurrence scan,not_squarefull
1414,0,2,2,1,small-prime recurrence scan,not_squarefull
1415,0,29,87,3,small-prime recurrence scan,not_squarefull
1416,0,5,5,1,small-prime recurrence scan,not_squarefull
1417,0,79,3792,48,small-prime recurrence scan,not_squarefull
1418,0,2,2,1,small-prime recurrence scan,not_squarefull
1419,0,5,5,1,small-prime recurrence scan,not_squarefull
1420,0,3,6,2,small-prime recurrence scan,not_squarefull
1421,0,239,31070,130,small-prime recurrence scan,not_squarefull
1422,0,2,2,1,small-prime recurrence scan,not_squarefull
1423,1,993253,488272249017,491589,prime-index congruence search,not_squarefull
1424,0,3,3,1,small-prime recurrence scan,not_squarefull
1425,0,7,14,2,small-prime recurrence scan,not_squarefull
1426,0,2,2,1,small-prime recurrence scan,not_squarefull
1427,1,6978031,31999617306746,4585766,prime-index congruence search,not_squarefull
1428,0,5,15,3,small-prime recurrence scan,not_squarefull
1429,1,145757,2969653118,20374,small-prime recurrence scan,not_squarefull
1430,0,2,2,1,small-prime recurrence scan,not_squarefull
1431,0,5,20,4,small-prime recurrence scan,not_squarefull
1432,0,3,6,2,small-prime recurrence scan,not_squarefull
1433,1,8599,32194656,3744,small-prime recurrence scan,not_squarefull
1434,0,2,2,1,small-prime recurrence scan,not_squarefull
1435,0,29,638,22,small-prime recurrence scan,not_squarefull
1436,0,3,3,1,small-prime recurrence scan,not_squarefull
1437,0,5,15,3,small-prime recurrence scan,not_squarefull
1438,0,2,2,1,small-prime recurrence scan,not_squarefull
1439,1,2879,118039,41,small-prime recurrence scan,not_squarefull
1440,0,7,42,6,small-prime recurrence scan,not_squarefull
1441,0,23,483,21,small-prime recurrence scan,not_squarefull
1442,0,2,2,1,small-prime recurrence scan,not_squarefull
1443,0,5,10,2,small-prime recurrence scan,not_squarefull
1444,0,3,6,2,small-prime recurrence scan,not_squarefull
1445,0,29,493,17,small-prime recurrence scan,not_squarefull
1446,0,2,2,1,small-prime recurrence scan,not_squarefull
1447,1,,,,,unresolved_by_search
1448,0,3,3,1,small-prime recurrence scan,not_squarefull
1449,0,5,5,1,small-prime recurrence scan,not_squarefull
1450,0,2,2,1,small-prime recurrence scan,not_squarefull
