family,parameters,a,b,c,factorization_c,source_capacities,sink_primes,source_count,sink_count,residual_numerator,residual_denominator,scalar_numerator,scalar_denominator,fragmentation_numerator,fragmentation_denominator,conductor,coarse_ratio_floor,assignment,assigned_packet_products,optimal_capped_reward_product,source_capacity_product
unit_prime_square,p=233,1,54288,54289,233^2,233:233,2;3;13;29,1,4,1,1,1,1,1,1,527046,0,2->233;3->233;13->233;29->233,233:2262,233,233
unit_prime_square,p=239,1,57120,57121,239^2,239:239,2;3;5;7;17,1,5,1,1,1,1,1,1,853230,0,2->239;3->239;5->239;7->239;17->239,239:3570,239,239
unit_prime_square,p=241,1,58080,58081,241^2,241:241,2;3;5;11,1,4,1,1,1,1,1,1,79530,0,2->241;3->241;5->241;11->241,241:330,241,241
unit_prime_square,p=251,1,63000,63001,251^2,251:251,2;3;5;7,1,4,251,210,251,210,1,1,52710,1,2->251;3->251;5->251;7->251,251:210,210,251
unit_prime_square,p=257,1,66048,66049,257^2,257:257,2;3;43,1,3,1,1,1,1,1,1,66306,0,2->257;3->257;43->257,257:258,257,257
unit_prime_square,p=263,1,69168,69169,263^2,263:263,2;3;11;131,1,4,1,1,1,1,1,1,2273898,0,2->263;3->263;11->263;131->263,263:8646,263,263
unit_prime_square,p=269,1,72360,72361,269^2,269:269,2;3;5;67,1,4,1,1,1,1,1,1,540690,0,2->269;3->269;5->269;67->269,269:2010,269,269
unit_prime_square,p=271,1,73440,73441,271^2,271:271,2;3;5;17,1,4,1,1,1,1,1,1,138210,0,2->271;3->271;5->271;17->271,271:510,271,271
unit_prime_square,p=277,1,76728,76729,277^2,277:277,2;3;23;139,1,4,1,1,1,1,1,1,5313414,0,2->277;3->277;23->277;139->277,277:19182,277,277
unit_prime_square,p=281,1,78960,78961,281^2,281:281,2;3;5;7;47,1,5,1,1,1,1,1,1,2773470,0,2->281;3->281;5->281;7->281;47->281,281:9870,281,281
unit_prime_square,p=283,1,80088,80089,283^2,283:283,2;3;47;71,1,4,1,1,1,1,1,1,5666226,0,2->283;3->283;47->283;71->283,283:20022,283,283
unit_prime_square,p=293,1,85848,85849,293^2,293:293,2;3;7;73,1,4,1,1,1,1,1,1,898338,0,2->293;3->293;7->293;73->293,293:3066,293,293
unit_prime_square,p=307,1,94248,94249,307^2,307:307,2;3;7;11;17,1,5,1,1,1,1,1,1,2411178,0,2->307;3->307;7->307;11->307;17->307,307:7854,307,307
unit_prime_square,p=311,1,96720,96721,311^2,311:311,2;3;5;13;31,1,5,1,1,1,1,1,1,3759990,0,2->311;3->311;5->311;13->311;31->311,311:12090,311,311
unit_prime_square,p=313,1,97968,97969,313^2,313:313,2;3;13;157,1,4,1,1,1,1,1,1,3832998,0,2->313;3->313;13->313;157->313,313:12246,313,313
unit_prime_square,p=317,1,100488,100489,317^2,317:317,2;3;53;79,1,4,1,1,1,1,1,1,7963674,0,2->317;3->317;53->317;79->317,317:25122,317,317
unit_prime_square,p=331,1,109560,109561,331^2,331:331,2;3;5;11;83,1,5,1,1,1,1,1,1,9066090,0,2->331;3->331;5->331;11->331;83->331,331:27390,331,331
unit_prime_square,p=337,1,113568,113569,337^2,337:337,2;3;7;13,1,4,1,1,1,1,1,1,184002,0,2->337;3->337;7->337;13->337,337:546,337,337
unit_prime_square,p=347,1,120408,120409,347^2,347:347,2;3;29;173,1,4,1,1,1,1,1,1,10445394,0,2->347;3->347;29->347;173->347,347:30102,347,347
unit_prime_square,p=349,1,121800,121801,349^2,349:349,2;3;5;7;29,1,5,1,1,1,1,1,1,2125410,0,2->349;3->349;5->349;7->349;29->349,349:6090,349,349
unit_prime_square,p=353,1,124608,124609,353^2,353:353,2;3;11;59,1,4,1,1,1,1,1,1,1374582,0,2->353;3->353;11->353;59->353,353:3894,353,353
unit_prime_square,p=359,1,128880,128881,359^2,359:359,2;3;5;179,1,4,1,1,1,1,1,1,1927830,0,2->359;3->359;5->359;179->359,359:5370,359,359
unit_prime_square,p=367,1,134688,134689,367^2,367:367,2;3;23;61,1,4,1,1,1,1,1,1,3089406,0,2->367;3->367;23->367;61->367,367:8418,367,367
unit_prime_square,p=373,1,139128,139129,373^2,373:373,2;3;11;17;31,1,5,1,1,1,1,1,1,12973686,0,2->373;3->373;11->373;17->373;31->373,373:34782,373,373
unit_prime_square,p=379,1,143640,143641,379^2,379:379,2;3;5;7;19,1,5,1,1,1,1,1,1,1512210,0,2->379;3->379;5->379;7->379;19->379,379:3990,379,379
unit_prime_square,p=383,1,146688,146689,383^2,383:383,2;3;191,1,3,1,1,1,1,1,1,438918,0,2->383;3->383;191->383,383:1146,383,383
unit_prime_square,p=389,1,151320,151321,389^2,389:389,2;3;5;13;97,1,5,1,1,1,1,1,1,14715870,0,2->389;3->389;5->389;13->389;97->389,389:37830,389,389
unit_prime_square,p=397,1,157608,157609,397^2,397:397,2;3;11;199,1,4,1,1,1,1,1,1,5214198,0,2->397;3->397;11->397;199->397,397:13134,397,397
unit_prime_square,p=401,1,160800,160801,401^2,401:401,2;3;5;67,1,4,1,1,1,1,1,1,806010,0,2->401;3->401;5->401;67->401,401:2010,401,401
